City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saskylakh,RU,2022-04-05 19:14:23,71.9167,114.0833,-25.44,100,67,2.15
1,Cape Town,ZA,2022-04-05 19:14:23,-33.9258,18.4232,60.89,85,16,3.0
2,Ushuaia,AR,2022-04-05 19:14:24,-54.8,-68.3,38.86,81,75,26.46
3,Bredasdorp,ZA,2022-04-05 19:12:58,-34.5322,20.0403,60.96,68,0,14.47
4,Bull Savanna,JM,2022-04-05 19:14:24,17.8868,-77.5902,83.44,57,62,18.05
5,Ponta Do Sol,PT,2022-04-05 19:13:09,32.6667,-17.1,61.72,65,43,7.65
6,Port-Gentil,GA,2022-04-05 19:14:24,-0.7193,8.7815,81.32,79,22,12.62
7,Thompson,CA,2022-04-05 19:14:25,55.7435,-97.8558,37.56,75,75,14.97
8,Chatra,IN,2022-04-05 19:14:25,24.2167,84.8667,75.92,8,21,2.08
9,Yeppoon,AU,2022-04-05 19:14:25,-23.1333,150.7333,69.58,75,6,13.18
10,Pinhao,BR,2022-04-05 19:14:26,-25.6956,-51.6597,77.5,59,33,4.12
11,Forssa,FI,2022-04-05 19:14:26,60.8146,23.6215,24.4,75,100,14.34
12,Kapaa,US,2022-04-05 19:14:26,22.0752,-159.319,76.98,95,100,13.8
13,Coquimbo,CL,2022-04-05 19:13:04,-29.9533,-71.3436,58.73,88,75,13.8
14,Faanui,PF,2022-04-05 19:14:27,-16.4833,-151.75,83.05,75,7,21.54
15,Lentate Sul Seveso,IT,2022-04-05 19:14:27,45.6807,9.1173,56.84,57,0,1.01
16,Busselton,AU,2022-04-05 19:14:28,-33.65,115.3333,55.89,73,19,7.99
17,Albany,US,2022-04-05 19:12:13,42.6001,-73.9662,59.92,41,86,4.0
18,Provideniya,RU,2022-04-05 19:14:28,64.3833,-173.3,2.43,78,55,6.53
19,Wilmington,US,2022-04-05 19:12:04,34.2257,-77.9447,75.97,58,0,18.41
20,Kifri,IQ,2022-04-05 19:14:28,34.6959,44.9661,72.75,26,99,5.84
21,Milos,GR,2022-04-05 19:14:29,36.75,24.4333,57.43,74,100,16.78
22,Krasnoselkup,RU,2022-04-05 19:14:29,65.7,82.4667,34.3,99,100,24.4
23,Guerrero Negro,MX,2022-04-05 19:11:26,27.9769,-114.0611,74.01,45,0,6.26
24,Ahipara,NZ,2022-04-05 19:14:29,-35.1667,173.1667,66.02,95,100,7.05
25,Aginskoye,RU,2022-04-05 19:14:30,51.1,114.53,18.18,44,94,2.37
26,Qaanaaq,GL,2022-04-05 19:14:30,77.484,-69.3632,12.61,89,19,2.26
27,Mataura,NZ,2022-04-05 19:14:30,-46.1927,168.8643,49.41,73,29,9.55
28,Grindavik,IS,2022-04-05 19:14:31,63.8424,-22.4338,28.87,64,75,26.46
29,Punta Arenas,CL,2022-04-05 19:14:31,-53.15,-70.9167,48.31,47,20,13.8
30,Hasaki,JP,2022-04-05 19:14:31,35.7333,140.8333,50.4,76,100,5.84
31,Ilulissat,GL,2022-04-05 19:14:32,69.2167,-51.1,30.22,74,75,3.44
32,Butaritari,KI,2022-04-05 19:12:59,3.0707,172.7902,80.92,82,37,16.93
33,Maarianhamina,AX,2022-04-05 19:14:32,60.0973,19.9348,28.26,86,75,8.05
34,Khatanga,RU,2022-04-05 19:14:32,71.9667,102.5,-12.26,93,10,8.19
35,Saldanha,ZA,2022-04-05 19:14:33,-33.0117,17.9442,61.72,80,0,7.2
36,Kibaya,TZ,2022-04-05 19:14:33,-5.3,36.5667,60.89,93,23,3.69
37,Birjand,IR,2022-04-05 19:14:33,32.8663,59.2211,71.02,11,5,10.18
38,Elmadag,TR,2022-04-05 19:14:34,39.9208,33.2308,55.53,53,17,6.73
39,Maniitsoq,GL,2022-04-05 19:14:34,65.4167,-52.9,30.81,85,100,5.39
40,Santa Maria,BR,2022-04-05 19:14:34,-29.6842,-53.8069,72.88,77,96,5.59
41,Kirakira,SB,2022-04-05 19:14:35,-10.4544,161.9205,80.02,87,98,13.11
42,Falmouth,GB,2022-04-05 19:14:35,50.1544,-5.0711,50.9,87,75,18.41
43,Quatre Cocos,MU,2022-04-05 19:14:35,-20.2078,57.7625,77.11,85,98,11.63
44,Sitka,US,2022-04-05 19:14:35,57.0531,-135.33,37.29,81,100,6.91
45,Puerto Escondido,MX,2022-04-05 19:17:35,15.85,-97.0667,85.03,70,0,16.11
46,Quezada,GT,2022-04-05 19:17:35,14.2722,-90.037,87.93,34,99,11.07
47,Druzhba,UA,2022-04-05 19:17:36,52.0428,33.9453,38.16,84,100,17.56
48,Rupert,US,2022-04-05 19:17:36,42.6191,-113.6772,39.18,44,100,21.85
49,Haapiti,PF,2022-04-05 19:17:36,-17.5667,-149.8667,85.73,75,5,21.12
50,Kikwit,CD,2022-04-05 19:17:37,-5.041,18.8162,72.55,96,100,1.77
51,Chapeco,BR,2022-04-05 19:17:37,-27.0964,-52.6183,80.35,61,75,5.75
52,Rikitea,PF,2022-04-05 19:17:37,-23.1203,-134.9692,79.11,68,33,19.91
53,Burnie,AU,2022-04-05 19:17:38,-41.0667,145.9167,53.2,80,100,11.72
54,Vaini,TO,2022-04-05 19:17:38,-21.2,-175.2,71.76,100,40,2.3
55,Leningradskiy,RU,2022-04-05 19:17:38,69.3833,178.4167,-10.88,88,8,10.27
56,Bluff,NZ,2022-04-05 19:13:12,-46.6,168.3333,53.44,75,89,33.13
57,Shache,CN,2022-04-05 19:17:39,38.4167,77.2406,63.16,16,0,6.04
58,Marystown,CA,2022-04-05 19:17:01,47.1666,-55.1483,39.85,100,100,15.01
59,Princeton,US,2022-04-05 19:13:15,25.5384,-80.4089,88.02,72,100,12.66
60,Touros,BR,2022-04-05 19:17:39,-5.1989,-35.4608,83.37,69,11,14.2
61,Sitges,ES,2022-04-05 19:17:39,41.2351,1.8119,56.01,56,100,1.52
62,Ust-Nera,RU,2022-04-05 19:17:40,64.5667,143.2,-16.08,100,94,5.01
63,Hobart,AU,2022-04-05 19:13:07,-42.8794,147.3294,53.46,72,100,5.75
64,Dikson,RU,2022-04-05 19:17:40,73.5069,80.5464,4.73,76,100,16.93
65,Goure,NE,2022-04-05 19:17:40,13.9835,10.2704,89.8,6,100,7.56
66,Port Alfred,ZA,2022-04-05 19:17:41,-33.5906,26.891,64.6,76,5,8.28
67,Atuona,PF,2022-04-05 19:17:41,-9.8,-139.0333,79.41,72,9,23.69
68,Puerto Ayora,EC,2022-04-05 19:17:41,-0.7393,-90.3518,84.16,86,45,5.01
69,Sokoto,NG,2022-04-05 19:17:41,13.0609,5.239,95.16,18,15,6.33
70,Tianpeng,CN,2022-04-05 19:17:42,30.9866,103.9393,54.07,81,100,2.33
71,Buala,SB,2022-04-05 19:17:42,-8.145,159.5921,77.2,94,100,9.98
72,Gushikawa,JP,2022-04-05 19:17:42,26.3544,127.8686,65.43,71,100,8.05
73,Klyuchi,RU,2022-04-05 19:17:43,52.2667,79.1667,53.04,67,62,8.32
74,Moree,AU,2022-04-05 19:17:43,-29.4667,149.85,62.62,88,25,10.36
75,Yellowknife,CA,2022-04-05 19:17:43,62.456,-114.3525,34.41,77,75,10.36
76,Hermanus,ZA,2022-04-05 19:17:44,-34.4187,19.2345,60.8,78,1,14.54
77,Fort Frances,CA,2022-04-05 19:17:44,48.5999,-93.4003,37.62,74,100,14.97
78,Sisimiut,GL,2022-04-05 19:17:44,66.9395,-53.6735,28.36,92,83,4.61
79,Komsomolskiy,UZ,2022-04-05 19:17:44,40.4272,71.7189,63.32,42,0,9.22
80,Mayo,US,2022-04-05 19:17:45,38.8876,-76.5119,58.17,92,100,5.01
81,Chokurdakh,RU,2022-04-05 19:17:45,70.6333,147.9167,-21.68,100,100,4.32
82,New Norfolk,AU,2022-04-05 19:17:45,-42.7826,147.0587,53.1,68,82,1.25
83,Verkhnyaya Inta,RU,2022-04-05 19:17:46,65.9811,60.3094,10.15,96,100,6.78
84,Vardo,NO,2022-04-05 19:15:53,70.3705,31.1107,31.98,80,75,28.77
85,Saint-Philippe,RE,2022-04-05 19:17:46,-21.3585,55.7679,78.39,87,51,10.04
86,Aracuai,BR,2022-04-05 19:17:46,-16.8497,-42.0703,94.37,25,0,2.28
87,Constitucion,CL,2022-04-05 19:17:47,-35.3333,-72.4167,65.28,60,8,12.57
88,Mizan Teferi,ET,2022-04-05 19:16:18,6.9833,35.5833,66.99,66,24,2.82
89,Havoysund,NO,2022-04-05 19:17:47,70.9963,24.6622,32.23,67,100,32.82
90,Chapais,CA,2022-04-05 19:17:47,49.7834,-74.8492,35.38,59,91,2.44
91,Wajima,JP,2022-04-05 19:17:48,37.4,136.9,51.48,70,100,13.78
92,Cabo San Lucas,MX,2022-04-05 19:14:19,22.8909,-109.9124,80.62,62,0,11.5
93,Denpasar,ID,2022-04-05 19:18:48,-8.65,115.2167,80.26,88,20,6.91
94,Pangody,RU,2022-04-05 19:18:48,65.85,74.4859,33.91,99,100,19.35
95,Aden,YE,2022-04-05 19:18:49,12.7794,45.0367,82.13,63,0,14.83
96,Toppenish,US,2022-04-05 19:17:18,46.3774,-120.3087,54.21,31,0,21.7
97,Harper,LR,2022-04-05 19:15:09,4.375,-7.7169,82.17,83,38,10.18
98,Bengkulu,ID,2022-04-05 19:18:49,-3.8004,102.2655,75.96,88,100,4.47
99,Arraial Do Cabo,BR,2022-04-05 19:15:30,-22.9661,-42.0278,78.76,94,75,16.11
100,Manado,ID,2022-04-05 19:18:50,1.487,124.8455,75.97,100,40,2.3
101,Crepy-En-Valois,FR,2022-04-05 19:18:50,49.2336,2.8881,53.73,87,99,8.77
102,Tomatlan,MX,2022-04-05 19:18:50,19.9333,-105.25,88.5,34,1,9.51
103,Angoram,PG,2022-04-05 19:18:51,-4.0625,144.0661,73.83,97,100,2.06
104,Kapit,MY,2022-04-05 19:18:51,2.0167,112.9333,72.39,99,100,0.92
105,Embonas,GR,2022-04-05 19:18:51,36.2269,27.8564,60.93,87,74,7.05
106,Mercedes,AR,2022-04-05 19:18:51,-34.6515,-59.4307,79.03,16,0,8.23
107,Kaeo,NZ,2022-04-05 19:14:27,-35.1,173.7833,66.33,96,100,5.68
108,Lompoc,US,2022-04-05 19:15:54,34.6391,-120.4579,87.57,50,0,17.27
109,Shestakovo,RU,2022-04-05 19:18:52,56.4915,103.96,27.14,97,100,4.5
110,Tasiilaq,GL,2022-04-05 19:18:52,65.6145,-37.6368,12.69,91,55,5.3
111,Agadez,NE,2022-04-05 19:18:53,19.75,10.25,89.69,6,100,7.49
112,Broken Hill,AU,2022-04-05 19:18:53,-31.95,141.4333,63.27,42,99,10.69
113,Puerto Madryn,AR,2022-04-05 19:18:53,-42.7692,-65.0385,77.94,31,19,22.08
114,Kodiak,US,2022-04-05 19:18:54,57.79,-152.4072,36.91,56,0,8.05
115,Port Hedland,AU,2022-04-05 19:18:54,-20.3167,118.5667,80.65,69,100,4.61
116,Dublin,US,2022-04-05 19:17:22,37.7021,-121.9358,69.15,40,0,11.5
117,Kavaratti,IN,2022-04-05 19:18:54,10.5669,72.642,83.48,74,22,6.89
118,Bethel,US,2022-04-05 19:18:55,41.3712,-73.414,60.19,46,20,6.91
119,Sabang,ID,2022-04-05 19:18:55,5.8933,95.3214,78.37,82,100,3.65
120,Christchurch,NZ,2022-04-05 19:14:58,-43.5333,172.6333,65.41,76,100,4.61
121,Barrow,US,2022-04-05 19:18:55,71.2906,-156.7887,-18.38,76,75,8.05
122,Carbondale,US,2022-04-05 19:18:55,37.7273,-89.2168,68.0,62,0,11.5
123,Orotukan,RU,2022-04-05 19:18:56,62.2667,151.7,-6.63,100,92,2.98
124,Snezhnogorsk,RU,2022-04-05 19:18:56,69.1933,33.2531,29.98,82,100,19.91
125,Bambous Virieux,MU,2022-04-05 19:18:56,-20.3428,57.7575,77.25,100,75,11.5
126,Cambuga,PH,2022-04-05 19:18:57,13.6167,122.45,76.55,86,100,8.25
127,Srednekolymsk,RU,2022-04-05 19:18:57,67.45,153.6833,-26.32,100,100,4.72
128,Sioux Lookout,CA,2022-04-05 19:15:36,50.1001,-91.917,37.47,65,100,10.36
129,Richards Bay,ZA,2022-04-05 19:18:57,-28.783,32.0377,72.32,89,21,2.28
130,Kloulklubed,PW,2022-04-05 19:18:20,7.0419,134.2556,81.63,78,100,5.23
131,Shingu,JP,2022-04-05 19:18:58,33.7333,135.9833,51.51,63,100,5.82
132,Alofi,NU,2022-04-05 19:18:58,-19.0595,-169.9187,73.29,94,100,5.75
133,Padang,ID,2022-04-05 19:18:58,-0.9492,100.3543,76.71,88,98,3.74
134,Carnarvon,AU,2022-04-05 19:18:59,-24.8667,113.6333,71.67,83,0,10.36
135,College,US,2022-04-05 19:18:59,64.8569,-147.8028,19.47,72,75,3.44
136,Norderstedt,DE,2022-04-05 19:18:59,53.7,10.0167,42.15,93,100,2.3
137,Port Augusta,AU,2022-04-05 19:19:00,-32.5,137.7667,65.08,67,16,7.0
138,Surt,LY,2022-04-05 19:19:00,31.2089,16.5887,65.59,77,18,9.57
139,Mount Isa,AU,2022-04-05 19:19:00,-20.7333,139.5,55.17,33,6,1.14
140,Avarua,CK,2022-04-05 19:20:01,-21.2078,-159.775,82.45,83,20,8.05
141,Pijijiapan,MX,2022-04-05 19:20:01,15.7011,-93.23,93.29,44,7,10.58
142,Kargopol,RU,2022-04-05 19:20:02,61.5071,38.9456,33.31,91,100,12.75
143,Torbay,CA,2022-04-05 19:18:00,47.6666,-52.7314,43.29,93,100,14.97
144,Dolores,AR,2022-04-05 19:20:02,-36.3132,-57.6792,75.67,28,1,11.54
145,Sabancuy,MX,2022-04-05 19:20:02,18.9667,-91.1833,95.47,43,0,6.6
146,Hamilton,US,2022-04-05 19:16:33,39.1834,-84.5333,55.78,95,100,9.22
147,Grand-Santi,GF,2022-04-05 19:20:03,4.25,-54.3833,80.46,92,44,3.96
148,Upernavik,GL,2022-04-05 19:20:03,72.7868,-56.1549,26.33,94,100,7.09
149,Ribeira Grande,PT,2022-04-05 19:20:04,38.5167,-28.7,63.0,82,20,9.22
150,Nouadhibou,MR,2022-04-05 19:17:58,20.931,-17.0347,67.98,60,0,21.85
151,Jamestown,US,2022-04-05 19:16:41,42.097,-79.2353,64.02,31,20,8.01
152,Longyearbyen,SJ,2022-04-05 19:20:04,78.2186,15.6401,10.24,61,0,17.27
153,Xingyi,CN,2022-04-05 19:20:04,24.1877,102.817,50.22,91,92,2.98
154,Mandalay,MM,2022-04-05 19:15:47,21.9747,96.0836,86.58,41,16,5.77
155,Laguna,US,2022-04-05 19:20:05,38.421,-121.4238,69.3,35,0,19.57
156,Pisco,PE,2022-04-05 19:18:02,-13.7,-76.2167,73.45,68,0,6.91
157,Palmer,US,2022-04-05 19:20:05,42.1584,-72.3287,62.33,34,40,6.91
158,Castro,BR,2022-04-05 19:20:05,-24.7911,-50.0119,76.05,70,14,3.09
159,Nunkini,MX,2022-04-05 19:20:06,20.3333,-90.1833,104.31,22,4,6.49
160,Tokur,RU,2022-04-05 19:20:06,53.1333,132.9,13.73,91,100,7.81
161,Port Hueneme,US,2022-04-05 19:20:06,34.1478,-119.1951,89.38,46,0,9.22
162,Lagoa,PT,2022-04-05 19:20:07,39.05,-27.9833,59.83,83,39,12.5
163,Cayenne,GF,2022-04-05 19:20:07,4.9333,-52.3333,77.04,88,100,9.22
164,Doraha,IN,2022-04-05 19:20:07,30.8167,76.0167,75.58,10,0,3.62
165,East London,ZA,2022-04-05 19:20:08,-33.0153,27.9116,67.78,74,56,5.35
166,Albanel,CA,2022-04-05 19:20:08,48.8832,-72.4487,39.18,33,99,2.3
167,Fairbanks,US,2022-04-05 19:15:33,64.8378,-147.7164,19.49,72,0,3.44
168,Bathsheba,BB,2022-04-05 19:20:08,13.2167,-59.5167,84.81,58,40,11.5
169,Dehui,CN,2022-04-05 19:20:09,44.5333,125.7,29.48,29,0,13.94
170,Lebu,CL,2022-04-05 19:20:09,-37.6167,-73.65,59.95,80,51,12.84
171,Ukiah,US,2022-04-05 19:17:02,39.1502,-123.2078,68.16,42,0,8.05
172,Cobija,BO,2022-04-05 19:20:09,-11.0267,-68.7692,91.58,58,40,0.0
173,Simpang,ID,2022-04-05 19:20:10,-1.2667,104.0833,73.99,94,74,2.04
174,Kaitangata,NZ,2022-04-05 19:20:10,-46.2817,169.8464,50.36,82,98,12.44
175,Alamos,MX,2022-04-05 19:20:11,27.0167,-108.9333,84.31,23,0,5.95
176,Northam,GB,2022-04-05 19:20:11,51.0333,-4.2167,50.4,88,100,21.18
177,Khushab,PK,2022-04-05 19:20:11,32.2967,72.3525,79.97,13,8,4.32
178,Bataipora,BR,2022-04-05 19:20:12,-22.2953,-53.2711,89.55,49,2,1.52
179,Georgetown,MY,2022-04-05 19:15:13,5.4112,100.3354,78.73,89,20,4.61
180,Sawakin,SD,2022-04-05 19:20:12,19.1059,37.3321,81.52,55,0,5.03
181,Tigil,RU,2022-04-05 19:20:13,57.8,158.6667,21.7,96,100,1.43
182,Ucluelet,CA,2022-04-05 19:20:13,48.9329,-125.5528,49.08,71,9,7.0
183,Port Elizabeth,ZA,2022-04-05 19:17:03,-33.918,25.5701,66.49,68,0,18.41
184,Antofagasta,CL,2022-04-05 19:18:50,-23.65,-70.4,72.21,49,88,8.93
185,Lewiston,US,2022-04-05 19:15:53,44.1003,-70.2148,59.86,28,20,10.36
186,Namatanai,PG,2022-04-05 19:20:14,-3.6667,152.4333,77.65,91,100,6.82
187,Valdez,EC,2022-04-05 19:21:14,1.2492,-78.9831,81.79,76,20,9.57
188,Hilo,US,2022-04-05 19:21:14,19.7297,-155.09,74.62,90,100,6.91
189,Dargaville,NZ,2022-04-05 19:21:15,-35.9333,173.8833,62.87,97,93,4.94
190,Imeni Poliny Osipenko,RU,2022-04-05 19:21:15,52.4201,136.4853,21.24,93,100,7.4
191,Urazovka,RU,2022-04-05 19:21:15,55.4013,45.6186,27.46,90,100,9.31
192,Bafoulabe,ML,2022-04-05 19:21:15,13.8065,-10.8321,100.42,11,79,8.55
